LOC_keywords,文本 2,分类,分类 2,pollution,文本 4,area,文本 5
the Old West,450,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Gulf of Mexico’s,454,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Napa,455,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Spirit Mountain,456,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Porcupine Mountain,457,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Maya,461,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Pine Valley Mountains,463,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Grand Staircase,464,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Colorado Plateau,466,北美,无匹配类别,无匹配标签,America,North America,
the Panama Canal,467,中美洲,发展中国家,无匹配标签,Panama,North America,
Cuyahoga River,473,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Pontchartrain,479,北美,无匹配类别,无匹配标签,America,North America,
Salt Lake Valley,481,北美,无匹配类别,无匹配标签,America,North America,
the North Slope,482,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Wapiti Lake,483,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Lamar Valley,484,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Lamar River,485,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Salton Sea,486,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the San Andreas Fault,488,北美,无匹配类别,无匹配标签,America,North America,
the San Andreas,489,北美,无匹配类别,无匹配标签,America,North America,
San Andreas,490,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
San Andreas Fault,491,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Imperial Valley,492,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Salton Sea,493,北美,无匹配类别,无匹配标签,America,North America,
the Imperial Valley,494,北美洲,无匹配类别,无匹配标签,无匹配标签,North America,
the Colorado River,495,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Sea of Cortez,496,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
New River,497,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the New River,498,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the North Woods,499,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Mid-Atlantic,500,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
the Russian River,501,无匹配类别,无匹配类别,无匹配标签,Russia,North America,
The Central Valley,502,无匹配类别,无匹配类别,无匹配标签,America,North America,
the Cosumnes River,503,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Brazos River,504,南美,发展中国家,无匹配标签,America,North America,
Long Island Rail Road,505,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Teshekpuk Lake Special Area,511,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Bristol Bay,512,北美,无匹配类别,无匹配标签,无匹配标签,North America,
The Colorado River,513,北美,无匹配类别,无匹配标签,America,North America,
Iliamna Lake,514,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Powell,515,北美洲,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Mead,516,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Colorado River Basin,517,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Colorado River Water Conservation District,518,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Glen Canyon Dam,519,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
The Colorado River’s,520,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Hoover Dam,521,北美,无匹配类别,无匹配标签,America,North America,
Lower Basin,522,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Gila River Indian Community,523,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Southeast Alaska,525,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Southeast Conference,526,东南亚,无匹配类别,无匹配标签,无匹配标签,North America,
The West Coast’s,529,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Aleutian Islands,530,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Bull Mountains,532,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Southern California’s,535,北美,无匹配类别,无匹配标签,无匹配标签,North America,
The South Yuba River,536,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Laurel Canyon,539,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Sacramento River,541,北美,无匹配类别,无匹配标签,无匹配标签,North America,
West Sacramento,542,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Mashpee River,544,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Waquoit Bay,548,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Popponesset Bay,549,北美洲,无匹配类别,无匹配标签,无匹配标签,North America,
the Great Plains,550,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Western United States,553,北美,发达国家,Top CO2 Emitters,America,North America,
Crawford Lake,559,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Cedar Lane Park,561,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Lone Star,570,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Kuskokwim River,571,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Isle de Jean Charles,573,北美,最不发达国家,Most Vulnerable to Climate Change,无匹配标签,North America,
Olympic Peninsula,574,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Carolina,578,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Broadback River,582,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Broadback Valley,583,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Broadback River Valley,584,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Chapel Hill,591,北美,无匹配类别,无匹配标签,America,North America,
Southwest Alaska,594,北美,发展中国家,无匹配标签,America,North America,
the Puget Sound,597,北美,无匹配类别,无匹配标签,America,North America,
the Strait of Juan de Fuca,598,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Shoalwater Bay Indian Reservation,603,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Sequim Bay,604,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Shoalwater Bay Tribe,605,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Shoalwater Bay,606,大洋洲,无匹配类别,无匹配标签,无匹配标签,North America,
Neah Bay,607,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Hampton Roads,611,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Potomac,612,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Chesapeake Bay,613,北美,无匹配类别,无匹配标签,America,North America,
Upper Peninsula,615,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Superior and Lake Michigan,616,北美,无匹配类别,无匹配标签,America,North America,
the Mississippi Valley,617,北美,无匹配类别,无匹配标签,America,North America,
Lake Superior,618,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Upper Peninsula,619,北美,无匹配类别,无匹配标签,无匹配标签,North America,
eastern Lake Superior,620,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Sanibel Island,625,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Annapolis Valley,627,北美,无匹配类别,无匹配标签,Canada,North America,
Indian River Lagoon,628,无匹配类别,发展中国家,无匹配标签,无匹配标签,North America,
the Waccamaw River,629,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Bone Valley,630,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Allegheny Mountains,632,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Yosemite Valley,635,北美,无匹配类别,无匹配标签,America,North America,
Terrebonne Bay,636,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Sierras,637,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Yakima River,639,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Central Washington,640,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Colorado Basin,641,北美,无匹配类别,无匹配标签,无匹配标签,North America,
